node_id,x,y,demand,is_depot
0,50,50,0,1
1,12,18,12,0
2,24,82,18,0
3,76,20,9,0
4,88,75,21,0
5,15,55,14,0
6,42,12,8,0
7,63,88,17,0
8,91,42,11,0
9,35,67,24,0
10,68,61,13,0
11,7,36,7,0
12,54,27,16,0
13,29,44,10,0
14,81,92,19,0
15,18,9,6,0
16,47,76,22,0
17,72,8,15,0
18,96,63,20,0
19,5,78,9,0
20,57,95,13,0
21,38,29,25,0
22,84,14,12,0
23,31,93,18,0
24,61,45,8,0
25,10,65,16,0
26,73,47,14,0
27,44,57,23,0
28,90,8,10,0
29,22,31,7,0
30,67,78,21,0
31,97,25,15,0
32,52,6,11,0
33,14,96,19,0
34,78,58,13,0
35,36,5,9,0
36,6,13,17,0
37,59,70,24,0
38,26,16,12,0
39,87,35,18,0
40,70,97,8,0
41,40,90,14,0
42,3,49,20,0
43,93,87,16,0
44,49,39,10,0
45,33,78,22,0
46,65,30,7,0
47,9,88,15,0
48,80,3,19,0
49,20,70,11,0
50,56,18,23,0
