Algorithm,Seed,BestDistance,RuntimeSeconds,FitnessEvaluations,NumberVehicles,BestRoutes
GA,0,1363.9269941923499,4.450917100068182,50000,8,"[[0, 37, 30, 43, 40, 7, 10, 0], [0, 13, 19, 11, 42, 1, 36, 15, 38, 29, 0], [0, 44, 17, 22, 28, 31, 39, 8, 3, 0], [0, 6, 32, 48, 50, 35, 34, 24, 0], [0, 5, 2, 33, 47, 45, 0], [0, 41, 23, 9, 27, 0], [0, 16, 25, 49, 21, 12, 46, 0], [0, 20, 14, 4, 18, 26, 0]]"
GA,1,1404.796835773462,4.695694800000638,50000,8,"[[0, 45, 41, 16, 2, 14, 0], [0, 30, 40, 43, 18, 4, 10, 0], [0, 42, 15, 36, 1, 38, 29, 13, 44, 0], [0, 24, 34, 17, 32, 6, 35, 50, 0], [0, 21, 12, 27, 9, 0], [0, 39, 31, 28, 48, 22, 3, 8, 0], [0, 25, 11, 19, 33, 47, 49, 5, 0], [0, 7, 20, 23, 37, 26, 46, 0]]"
GA,2,1353.4242609964497,4.5665901999454945,50000,8,"[[0, 12, 46, 48, 32, 35, 6, 21, 0], [0, 39, 8, 4, 18, 37, 0], [0, 24, 26, 10, 34, 7, 41, 2, 0], [0, 9, 25, 19, 49, 23, 45, 0], [0, 27, 44, 38, 15, 36, 1, 11, 0], [0, 50, 3, 17, 22, 28, 31, 0], [0, 33, 47, 42, 13, 5, 29, 0], [0, 14, 40, 30, 43, 20, 16, 0]]"
GA,3,1484.018041732581,4.703117600176483,50000,8,"[[0, 18, 43, 10, 3, 50, 32, 46, 0], [0, 12, 31, 28, 22, 17, 48, 24, 0], [0, 23, 49, 47, 2, 41, 30, 0], [0, 9, 45, 13, 29, 1, 6, 44, 0], [0, 33, 19, 25, 11, 36, 38, 15, 35, 0], [0, 37, 14, 4, 7, 0], [0, 27, 16, 40, 20, 5, 42, 0], [0, 21, 26, 8, 39, 34, 0]]"
GA,4,1446.285478434891,4.376651500118896,50000,8,"[[0, 24, 34, 43, 14, 30, 0], [0, 21, 42, 49, 9, 2, 0], [0, 45, 20, 40, 4, 18, 0], [0, 48, 3, 22, 28, 36, 15, 32, 17, 0], [0, 38, 12, 6, 35, 29, 1, 25, 11, 13, 0], [0, 26, 8, 39, 31, 46, 50, 44, 0], [0, 16, 41, 7, 37, 10, 0], [0, 23, 47, 33, 19, 5, 27, 0]]"
GA,5,1419.8474876633366,4.63761859992519,50000,8,"[[0, 44, 12, 39, 22, 3, 34, 24, 0], [0, 37, 16, 41, 43, 7, 0], [0, 48, 28, 31, 8, 18, 26, 0], [0, 10, 30, 9, 33, 23, 0], [0, 11, 42, 5, 25, 19, 49, 45, 0], [0, 15, 36, 1, 35, 32, 50, 17, 46, 0], [0, 2, 47, 40, 14, 20, 4, 0], [0, 27, 6, 38, 21, 29, 13, 0]]"
GA,6,1403.9234676847211,4.659657600102946,50000,8,"[[0, 3, 48, 28, 31, 8, 39, 24, 0], [0, 14, 7, 30, 50, 12, 0], [0, 26, 10, 37, 45, 16, 0], [0, 44, 15, 5, 11, 42, 25, 9, 0], [0, 29, 6, 32, 17, 22, 46, 34, 4, 0], [0, 23, 33, 47, 19, 49, 27, 0], [0, 35, 18, 43, 40, 20, 41, 2, 0], [0, 21, 38, 36, 1, 13, 0]]"
GA,7,1456.2441673752744,4.53549739997834,50000,8,"[[0, 46, 28, 31, 8, 39, 50, 0], [0, 14, 4, 43, 37, 24, 0], [0, 17, 48, 35, 38, 21, 42, 0], [0, 20, 33, 47, 19, 49, 25, 5, 0], [0, 10, 30, 7, 16, 41, 40, 0], [0, 1, 36, 15, 6, 29, 11, 27, 44, 0], [0, 12, 32, 22, 3, 26, 34, 18, 0], [0, 45, 23, 9, 2, 13, 0]]"
GA,8,1382.148210953102,4.504857199965045,50000,8,"[[0, 44, 10, 4, 40, 20, 41, 30, 0], [0, 24, 39, 26, 8, 31, 48, 46, 0], [0, 50, 28, 22, 3, 17, 6, 12, 0], [0, 16, 18, 43, 14, 34, 0], [0, 7, 19, 45, 23, 33, 49, 0], [0, 29, 1, 15, 36, 38, 21, 35, 32, 0], [0, 13, 42, 11, 5, 25, 47, 2, 0], [0, 9, 37, 27, 0]]"
GA,9,1331.1451691314865,4.457811499945819,50000,8,"[[0, 26, 39, 8, 43, 10, 37, 0], [0, 30, 14, 20, 40, 7, 0], [0, 50, 32, 6, 21, 44, 12, 0], [0, 23, 9, 47, 33, 45, 0], [0, 17, 31, 48, 35, 38, 36, 15, 0], [0, 24, 46, 3, 28, 22, 34, 18, 4, 0], [0, 13, 29, 1, 11, 42, 25, 5, 0], [0, 16, 41, 2, 19, 49, 27, 0]]"
