Algorithm,mutation_rate,beta,w_end,Seed,BestDistance
GA,0.05,,,0,1305.6548334198187
GA,0.05,,,1,1305.551787100016
GA,0.05,,,2,1312.0908168528163
GA,0.05,,,3,1326.818524055296
GA,0.05,,,4,1348.9957672326966
GA,0.05,,,5,1271.573905805241
GA,0.05,,,6,1299.3309324771353
GA,0.05,,,7,1238.0905835526498
GA,0.05,,,8,1282.2618469224699
GA,0.05,,,9,1380.7119441695029
GA,0.1,,,0,1437.8061808771608
GA,0.1,,,1,1490.7688037795715
GA,0.1,,,2,1303.514065153642
GA,0.1,,,3,1411.780776125361
GA,0.1,,,4,1327.1753576803685
GA,0.1,,,5,1315.940406302524
GA,0.1,,,6,1267.0475499559075
GA,0.1,,,7,1380.730131473578
GA,0.1,,,8,1370.0049276549219
GA,0.1,,,9,1412.5259792163515
GA,0.2,,,0,1363.9269941923499
GA,0.2,,,1,1404.796835773462
GA,0.2,,,2,1353.4242609964497
GA,0.2,,,3,1484.018041732581
GA,0.2,,,4,1446.285478434891
GA,0.2,,,5,1419.8474876633366
GA,0.2,,,6,1403.9234676847211
GA,0.2,,,7,1456.2441673752744
GA,0.2,,,8,1382.148210953102
GA,0.2,,,9,1331.1451691314865
GA,0.3,,,0,1386.6564789535364
GA,0.3,,,1,1479.9402230466048
GA,0.3,,,2,1334.5205883448327
GA,0.3,,,3,1409.5997448251687
GA,0.3,,,4,1478.0031771409308
GA,0.3,,,5,1398.4466401702155
GA,0.3,,,6,1429.3669288715396
GA,0.3,,,7,1407.22063803261
GA,0.3,,,8,1404.5424030415709
GA,0.3,,,9,1418.3172326905033
GA,0.4,,,0,1467.2057105007832
GA,0.4,,,1,1370.6210454947723
GA,0.4,,,2,1402.6099132472136
GA,0.4,,,3,1425.7860932962953
GA,0.4,,,4,1407.8131825426142
GA,0.4,,,5,1441.2445901339963
GA,0.4,,,6,1482.293333519813
GA,0.4,,,7,1398.8618236350014
GA,0.4,,,8,1479.4969630577464
GA,0.4,,,9,1367.580156562685
ACO,,1,,0,1169.5971720475518
ACO,,1,,1,1170.397079898503
ACO,,1,,2,1174.9698226934395
ACO,,1,,3,1176.1480419584882
ACO,,1,,4,1194.4579703947966
ACO,,1,,5,1202.7212078543025
ACO,,1,,6,1170.5358950784346
ACO,,1,,7,1168.5979437851322
ACO,,1,,8,1201.2570194434159
ACO,,1,,9,1183.9860013506284
ACO,,2,,0,1100.1808261237916
ACO,,2,,1,1072.3947202616548
ACO,,2,,2,1092.5966669649733
ACO,,2,,3,1114.0797936457511
ACO,,2,,4,1082.3174487295882
ACO,,2,,5,1113.0214037505134
ACO,,2,,6,1092.4410818525234
ACO,,2,,7,1075.0146876483636
ACO,,2,,8,1108.4613631447562
ACO,,2,,9,1084.761076300282
ACO,,3,,0,1112.3362473767754
ACO,,3,,1,1099.8369481841448
ACO,,3,,2,1098.9131030857332
ACO,,3,,3,1091.7967726621102
ACO,,3,,4,1092.4034042591873
ACO,,3,,5,1114.7331970838084
ACO,,3,,6,1105.119115886707
ACO,,3,,7,1101.0208075360629
ACO,,3,,8,1094.3980443088967
ACO,,3,,9,1089.0298847984172
ACO,,4,,0,1116.1897336035533
ACO,,4,,1,1115.542568435803
ACO,,4,,2,1114.8525252686345
ACO,,4,,3,1094.770341827822
ACO,,4,,4,1099.0145311675574
ACO,,4,,5,1121.1269520237006
ACO,,4,,6,1101.6573279228455
ACO,,4,,7,1126.3247449913235
ACO,,4,,8,1123.311176715641
ACO,,4,,9,1130.041264867957
ACO,,5,,0,1126.3247449913235
ACO,,5,,1,1119.4726565091719
ACO,,5,,2,1112.556778585244
ACO,,5,,3,1126.696366435508
ACO,,5,,4,1120.5851742498053
ACO,,5,,5,1121.698662259279
ACO,,5,,6,1128.083024724523
ACO,,5,,7,1136.8786809003857
ACO,,5,,8,1135.0052578721165
ACO,,5,,9,1110.5820013243924
PSO,,,0.2,0,1483.7756408949026
PSO,,,0.2,1,1711.2035304025828
PSO,,,0.2,2,1636.5323996389377
PSO,,,0.2,3,1720.3854218907054
PSO,,,0.2,4,1734.4916471311406
PSO,,,0.2,5,1534.2790840465047
PSO,,,0.2,6,1728.7629714470297
PSO,,,0.2,7,1709.2029130395129
PSO,,,0.2,8,1694.629482179401
PSO,,,0.2,9,1741.1482473873282
PSO,,,0.3,0,1598.0346906100224
PSO,,,0.3,1,1730.2832174899536
PSO,,,0.3,2,1779.9755617308078
PSO,,,0.3,3,1570.1325023648756
PSO,,,0.3,4,1743.081196114637
PSO,,,0.3,5,1728.919839700668
PSO,,,0.3,6,1469.7286449128849
PSO,,,0.3,7,1555.5120583380797
PSO,,,0.3,8,1722.7169102383668
PSO,,,0.3,9,1728.022998642364
PSO,,,0.4,0,1784.4882742037526
PSO,,,0.4,1,1676.029935489676
PSO,,,0.4,2,1866.6931341209372
PSO,,,0.4,3,1461.4706781031534
PSO,,,0.4,4,1580.7803390020606
PSO,,,0.4,5,1716.4792827790966
PSO,,,0.4,6,1481.4051414505918
PSO,,,0.4,7,1826.9806664098965
PSO,,,0.4,8,1760.495161056889
PSO,,,0.4,9,1659.9253109910364
PSO,,,0.5,0,1778.7250575032713
PSO,,,0.5,1,1703.354543223415
PSO,,,0.5,2,1912.6851946725108
PSO,,,0.5,3,1508.4480429617277
PSO,,,0.5,4,1721.5493842291967
PSO,,,0.5,5,1644.9759350589316
PSO,,,0.5,6,1599.7786778646614
PSO,,,0.5,7,1658.9079397125304
PSO,,,0.5,8,1800.453081181438
PSO,,,0.5,9,1594.0807761843826
PSO,,,0.6,0,1736.1895632142148
PSO,,,0.6,1,1722.6175114624718
PSO,,,0.6,2,1895.331317367608
PSO,,,0.6,3,1502.1848268528565
PSO,,,0.6,4,1596.9547958100375
PSO,,,0.6,5,1540.68973105267
PSO,,,0.6,6,1651.4813901584735
PSO,,,0.6,7,1588.87642201463
PSO,,,0.6,8,1715.5544013048097
PSO,,,0.6,9,1609.8472845397303
